"ward","target"
"21001001: Ward 1",21.87
"21001002: Ward 2",65.94
"21001003: Ward 3",83.65
"21001004: Ward 4",
"21001005: Ward 5",
"21001006: Ward 6",
"21001007: Ward 7",
"21002001: Ward 1",
"21002002: Ward 2",
"21002003: Ward 3",
"21002004: Ward 4",
"21002005: Ward 5",
"21002006: Ward 6",
"21004001: Ward 1",
"21004002: Ward 2",
"21004003: Ward 3",
"21004004: Ward 4",
"21004005: Ward 5",
"21004006: Ward 6",
"21004007: Ward 7",
"21004008: Ward 8",
"21004009: Ward 9",
"21004010: Ward 10",
"21004011: Ward 11",
"21004012: Ward 12",
"21004013: Ward 13",
"21004014: Ward 14",
"21005001: Ward 1",
"21005002: Ward 2",
"21005003: Ward 3",
"21005004: Ward 4",
"21005005: Ward 5",
"21005006: Ward 6",
"21005007: Ward 7",
"21005008: Ward 8",
"21005009: Ward 9",
"21005010: Ward 10",
"21006001: Ward 1",
"21006002: Ward 2",
"21006003: Ward 3",
"21006004: Ward 4",
"21006005: Ward 5",
"21006006: Ward 6",
"21006007: Ward 7",
"21006008: Ward 8",
"21008001: Ward 1",
"21008002: Ward 2",
"21008003: Ward 3",
"21008004: Ward 4",
"21008005: Ward 5",
"21008006: Ward 6",
"21008007: Ward 7",
"21008008: Ward 8",
"21008009: Ward 9",
"21008010: Ward 10",
"21008011: Ward 11",
"21008012: Ward 12",
"21008013: Ward 13",
"21008014: Ward 14",
"21008015: Ward 15",
"21009001: Ward 1",
"21009002: Ward 2",
"21009003: Ward 3",
"21009004: Ward 4",
"21009005: Ward 5",
"21009006: Ward 6",
"21201001: Ward 1",
"21201002: Ward 2",
"21201003: Ward 3",
"21201004: Ward 4",
"21201005: Ward 5",
"21201006: Ward 6",
"21201007: Ward 7",
"21201008: Ward 8",
"21201009: Ward 9",
"21201010: Ward 10",
"21201011: Ward 11",
"21201012: Ward 12",
"21201013: Ward 13",
"21201014: Ward 14",
"21201015: Ward 15",
"21201016: Ward 16",
"21201017: Ward 17",
"21201018: Ward 18",
"21201019: Ward 19",
"21201020: Ward 20",
"21201021: Ward 21",
"21201022: Ward 22",
"21201023: Ward 23",
"21201024: Ward 24",
"21201025: Ward 25",
"21201026: Ward 26",
"21201027: Ward 27",
"21201028: Ward 28",
"21201029: Ward 29",
"21201030: Ward 30",
"21201031: Ward 31",
"21202001: Ward 1",
"21202002: Ward 2",
"21202003: Ward 3",
"21202004: Ward 4",
"21202005: Ward 5",
"21202006: Ward 6",
"21202007: Ward 7",
"21202008: Ward 8",
"21202009: Ward 9",
"21202010: Ward 10",
"21202011: Ward 11",
"21202012: Ward 12",
"21202013: Ward 13",
"21202014: Ward 14",
"21202015: Ward 15",
"21202016: Ward 16",
"21202017: Ward 17",
"21202018: Ward 18",
"21202019: Ward 19",
"21202020: Ward 20",
"21202021: Ward 21",
"21202022: Ward 22",
"21202023: Ward 23",
"21202024: Ward 24",
"21202025: Ward 25",
"21202026: Ward 26",
"21202027: Ward 27",
"21202028: Ward 28",
"21202029: Ward 29",
"21202030: Ward 30",
"21202031: Ward 31",
"21203001: Ward 1",
"21203002: Ward 2",
"21203003: Ward 3",
"21203004: Ward 4",
"21203005: Ward 5",
"21203006: Ward 6",
"21203007: Ward 7",
"21204001: Ward 1",
"21204002: Ward 2",
"21204003: Ward 3",
"21204004: Ward 4",
"21204005: Ward 5",
"21204006: Ward 6",
"21204007: Ward 7",
"21204008: Ward 8",
"21204009: Ward 9",
"21204010: Ward 10",
"21204011: Ward 11",
"21204012: Ward 12",
"21204013: Ward 13",
"21204014: Ward 14",
"21204015: Ward 15",
"21206001: Ward 1",
"21206002: Ward 2",
"21206003: Ward 3",
"21206004: Ward 4",
"21206005: Ward 5",
"21206006: Ward 6",
"21206007: Ward 7",
"21206008: Ward 8",
"21206009: Ward 9",
"21206010: Ward 10",
"21206011: Ward 11",
"21206012: Ward 12",
"21301001: Ward 1",
"21301002: Ward 2",
"21301003: Ward 3",
"21301004: Ward 4",
"21301005: Ward 5",
"21301006: Ward 6",
"21301007: Ward 7",
"21301008: Ward 8",
"21301009: Ward 9",
"21305001: Ward 1",
"21305002: Ward 2",
"21305003: Ward 3",
"21305004: Ward 4",
"21305005: Ward 5",
"21305006: Ward 6",
"21305007: Ward 7",
"21305008: Ward 8",
"21305009: Ward 9",
"21305010: Ward 10",
"21305011: Ward 11",
"21305012: Ward 12",
"21305013: Ward 13",
"21305014: Ward 14",
"21305015: Ward 15",
"21305016: Ward 16",
"21305017: Ward 17",
"21305018: Ward 18",
"21305019: Ward 19",
"21305020: Ward 20",
"21305021: Ward 21",
"21306001: Ward 1",
"21306002: Ward 2",
"21306003: Ward 3",
"21306004: Ward 4",
"21306005: Ward 5",
"21306006: Ward 6",
"21306007: Ward 7",
"21306008: Ward 8",
"21306009: Ward 9",
"21306010: Ward 10",
"21306011: Ward 11",
"21306012: Ward 12",
"21306013: Ward 13",
"21306014: Ward 14",
"21306015: Ward 15",
"21306016: Ward 16",
"21306017: Ward 17",
"21307001: Ward 1",
"21307002: Ward 2",
"21307003: Ward 3",
"21307004: Ward 4",
"21307005: Ward 5",
"21307006: Ward 6",
"21307007: Ward 7",
"21307008: Ward 8",
"21307009: Ward 9",
"21307010: Ward 10",
"21307011: Ward 11",
"21307012: Ward 12",
"21307013: Ward 13",
"21307014: Ward 14",
"21307015: Ward 15",
"21307016: Ward 16",
"21307017: Ward 17",
"21307018: Ward 18",
"21307019: Ward 19",
"21307020: Ward 20",
"21308001: Ward 1",
"21308002: Ward 2",
"21308003: Ward 3",
"21308004: Ward 4",
"21308005: Ward 5",
"21308006: Ward 6",
"21308007: Ward 7",
"21308008: Ward 8",
"21308009: Ward 9",
"21401001: Ward 1",
"21401002: Ward 2",
"21401003: Ward 3",
"21401004: Ward 4",
"21401005: Ward 5",
"21401006: Ward 6",
